"","accession","keggmap"
"1","HMDB0000001","map00340"
"2","HMDB0000002","map00410"
"3","HMDB0000005","map00260"
"4","HMDB0000005","map00270"
"5","HMDB0000005","map00640"
"6","HMDB0000005","map00450"
"7","HMDB0000008","map00640"
"8","HMDB0000011","map00072"
"9","HMDB0000012","map00240"
"10","HMDB0000014","map00240"
"11","HMDB0000015","map00140"
"12","HMDB0000016","map00140"
"13","HMDB0000017","map00750"
"14","HMDB0000019","map00280"
"15","HMDB0000020","map00350"
"16","HMDB0000021","map00350"
"17","HMDB0000022","map00350"
"18","HMDB0000023","map00280"
"19","HMDB0000024","map00500"
"20","HMDB0000026","map00410"
"21","HMDB0000026","map00240"
"22","HMDB0000027","map00330"
"23","HMDB0000027","map00360"
"24","HMDB0000027","map00790"
"25","HMDB0000027","map00380"
"26","HMDB0000027","map00350"
"27","HMDB0000027","map00350"
"28","HMDB0000030","map00250"
"29","HMDB0000030","map00780"
"30","HMDB0000030","map00020"
"31","HMDB0000030","map00250"
"32","HMDB0000030","map00010"
"33","HMDB0000030","map00910"
"34","HMDB0000030","map00640"
"35","HMDB0000030","map00620"
"36","HMDB0000030","map00280"
"37","HMDB0000032","map00100"
"38","HMDB0000033","map00410"
"39","HMDB0000033","map00340"
"40","HMDB0000034","map00230"
"41","HMDB0000036","map00120"
"42","HMDB0000037","map00140"
"43","HMDB0000038","map00790"
"44","HMDB0000038","map00350"
"45","HMDB0000039","map00650"
"46","HMDB0000042","map00520"
"47","HMDB0000042","map00250"
"48","HMDB0000042","map00620"
"49","HMDB0000043","map00260"
"50","HMDB0000043","map00260"
"51","HMDB0000043","map00270"
"52","HMDB0000044","map00350"
"53","HMDB0000044","map00350"
"54","HMDB0000045","map00250"
"55","HMDB0000045","map00330"
"56","HMDB0000045","map00250"
"57","HMDB0000045","map00650"
"58","HMDB0000045","map00270"
"59","HMDB0000045","map00071"
"60","HMDB0000045","map00250"
"61","HMDB0000045","map00260"
"62","HMDB0000045","map00340"
"63","HMDB0000045","map00270"
"64","HMDB0000045","map00760"
"65","HMDB0000045","map00910"
"66","HMDB0000045","map00770"
"67","HMDB0000045","map00360"
"68","HMDB0000045","map00360"
"69","HMDB0000045","map00640"
"70","HMDB0000045","map00230"
"71","HMDB0000045","map00620"
"72","HMDB0000045","map00740"
"73","HMDB0000045","map00450"
"74","HMDB0000045","map00730"
"75","HMDB0000045","map00330"
"76","HMDB0000048","map00052"
"77","HMDB0000050","map00260"
"78","HMDB0000050","map00270"
"79","HMDB0000050","map00230"
"80","HMDB0000050","map00450"
"81","HMDB0000051","map00520"
"82","HMDB0000051","map00330"
"83","HMDB0000051","map00250"
"84","HMDB0000051","map00410"
"85","HMDB0000051","map00270"
"86","HMDB0000051","map00472"
"87","HMDB0000051","map00250"
"88","HMDB0000051","map00260"
"89","HMDB0000051","map00340"
"90","HMDB0000051","map00270"
"91","HMDB0000051","map00910"
"92","HMDB0000051","map00670"
"93","HMDB0000051","map00360"
"94","HMDB0000051","map00860"
"95","HMDB0000051","map00230"
"96","HMDB0000051","map00240"
"97","HMDB0000051","map00450"
"98","HMDB0000051","map00350"
"99","HMDB0000051","map00330"
"100","HMDB0000051","map00750"
"101","HMDB0000052","map00330"
"102","HMDB0000052","map00250"
"103","HMDB0000052","map00330"
"104","HMDB0000053","map00150"
"105","HMDB0000054","map00860"
"106","HMDB0000056","map00250"
"107","HMDB0000056","map00410"
"108","HMDB0000056","map00340"
"109","HMDB0000056","map00640"
"110","HMDB0000056","map00240"
"111","HMDB0000058","map00230"
"112","HMDB0000060","map00650"
"113","HMDB0000060","map00072"
"114","HMDB0000060","map00360"
"115","HMDB0000060","map00350"
"116","HMDB0000060","map00280"
"117","HMDB0000061","map00150"
"118","HMDB0000061","map00500"
"119","HMDB0000061","map00920"
"120","HMDB0000062","map01040"
"121","HMDB0000062","map00071"
"122","HMDB0000063","map00140"
"123","HMDB0000064","map00330"
"124","HMDB0000064","map00260"
"125","HMDB0000067","map00120"
"126","HMDB0000067","map00100"
"127","HMDB0000067","map00140"
"128","HMDB0000068","map00350"
"129","HMDB0000068","map00350"
"130","HMDB0000071","map00230"
"131","HMDB0000072","map00020"
"132","HMDB0000073","map00350"
"133","HMDB0000073","map00350"
"134","HMDB0000076","map00410"
"135","HMDB0000076","map00240"
"136","HMDB0000077","map00150"
"137","HMDB0000078","map00480"
"138","HMDB0000079","map00240"
"139","HMDB0000082","map00520"
"140","HMDB0000082","map00770"
"141","HMDB0000082","map00240"
"142","HMDB0000085","map00230"
"143","HMDB0000086","map00830"
"144","HMDB0000089","map00240"
"145","HMDB0000092","map00260"
"146","HMDB0000092","map00260"
"147","HMDB0000092","map00270"
"148","HMDB0000094","map00020"
"149","HMDB0000095","map00770"
"150","HMDB0000095","map00562"
"151","HMDB0000095","map00240"
"152","HMDB0000097","map00260"
"153","HMDB0000097","map00270"
"154","HMDB0000097","map00564"
"155","HMDB0000099","map00260"
"156","HMDB0000099","map00270"
"157","HMDB0000101","map00230"
"158","HMDB0000107","map00052"
"159","HMDB0000112","map00250"
"160","HMDB0000114","map00564"
"161","HMDB0000118","map00350"
"162","HMDB0000119","map00250"
"163","HMDB0000119","map00260"
"164","HMDB0000121","map00670"
"165","HMDB0000121","map00790"
"166","HMDB0000122","map00052"
"167","HMDB0000122","map00010"
"168","HMDB0000122","map00010"
"169","HMDB0000122","map00500"
"170","HMDB0000123","map00250"
"171","HMDB0000123","map00330"
"172","HMDB0000123","map00250"
"173","HMDB0000123","map00480"
"174","HMDB0000123","map00260"
"175","HMDB0000123","map00270"
"176","HMDB0000123","map00910"
"177","HMDB0000123","map00860"
"178","HMDB0000123","map00120"
"179","HMDB0000123","map00230"
"180","HMDB0000124","map00520"
"181","HMDB0000124","map00051"
"182","HMDB0000124","map00250"
"183","HMDB0000124","map00010"
"184","HMDB0000124","map00010"
"185","HMDB0000125","map00590"
"186","HMDB0000125","map00250"
"187","HMDB0000125","map00480"
"188","HMDB0000125","map00620"
"189","HMDB0000126","map00561"
"190","HMDB0000126","map00190"
"191","HMDB0000126","map00564"
"192","HMDB0000127","map00562"
"193","HMDB0000127","map00500"
"194","HMDB0000128","map00330"
"195","HMDB0000128","map00260"
"196","HMDB0000130","map00360"
"197","HMDB0000130","map00350"
"198","HMDB0000131","map00052"
"199","HMDB0000131","map00561"
"200","HMDB0000132","map00230"
"201","HMDB0000133","map00230"
"202","HMDB0000134","map00330"
"203","HMDB0000134","map00250"
"204","HMDB0000134","map00020"
"205","HMDB0000134","map00190"
"206","HMDB0000134","map00360"
"207","HMDB0000134","map00230"
"208","HMDB0000134","map00350"
"209","HMDB0000134","map00330"
"210","HMDB0000138","map00120"
"211","HMDB0000139","map00561"
"212","HMDB0000139","map00260"
"213","HMDB0000142","map00150"
"214","HMDB0000142","map00670"
"215","HMDB0000142","map00790"
"216","HMDB0000142","map00100"
"217","HMDB0000142","map00380"
"218","HMDB0000143","map00052"
"219","HMDB0000143","map00520"
"220","HMDB0000143","map00500"
"221","HMDB0000145","map00150"
"222","HMDB0000145","map00920"
"223","HMDB0000148","map00250"
"224","HMDB0000148","map00520"
"225","HMDB0000148","map00590"
"226","HMDB0000148","map00330"
"227","HMDB0000148","map00250"
"228","HMDB0000148","map00410"
"229","HMDB0000148","map00270"
"230","HMDB0000148","map00250"
"231","HMDB0000148","map00480"
"232","HMDB0000148","map00260"
"233","HMDB0000148","map00340"
"234","HMDB0000148","map00310"
"235","HMDB0000148","map00760"
"236","HMDB0000148","map00910"
"237","HMDB0000148","map00670"
"238","HMDB0000148","map00360"
"239","HMDB0000148","map00640"
"240","HMDB0000148","map00230"
"241","HMDB0000148","map00380"
"242","HMDB0000148","map00350"
"243","HMDB0000148","map00330"
"244","HMDB0000148","map00280"
"245","HMDB0000149","map00564"
"246","HMDB0000151","map00150"
"247","HMDB0000156","map00020"
"248","HMDB0000156","map00010"
"249","HMDB0000156","map00620"
"250","HMDB0000157","map00230"
"251","HMDB0000158","map00360"
"252","HMDB0000158","map00350"
"253","HMDB0000158","map00350"
"254","HMDB0000159","map00360"
"255","HMDB0000161","map00250"
"256","HMDB0000161","map00250"
"257","HMDB0000161","map00480"
"258","HMDB0000161","map00260"
"259","HMDB0000161","map00450"
"260","HMDB0000161","map00380"
"261","HMDB0000161","map00330"
"262","HMDB0000162","map00330"
"263","HMDB0000163","map00500"
"264","HMDB0000164","map00350"
"265","HMDB0000167","map00260"
"266","HMDB0000168","map00250"
"267","HMDB0000168","map00910"
"268","HMDB0000169","map00051"
"269","HMDB0000169","map00052"
"270","HMDB0000172","map00280"
"271","HMDB0000174","map00051"
"272","HMDB0000175","map00250"
"273","HMDB0000175","map00230"
"274","HMDB0000177","map00410"
"275","HMDB0000177","map00340"
"276","HMDB0000177","map00910"
"277","HMDB0000181","map00350"
"278","HMDB0000181","map00350"
"279","HMDB0000182","map00780"
"280","HMDB0000182","map00310"
"281","HMDB0000186","map00052"
"282","HMDB0000187","map00260"
"283","HMDB0000187","map00270"
"284","HMDB0000187","map00910"
"285","HMDB0000187","map00450"
"286","HMDB0000187","map00500"
"287","HMDB0000189","map00230"
"288","HMDB0000190","map00010"
"289","HMDB0000190","map00620"
"290","HMDB0000191","map00330"
"291","HMDB0000191","map00250"
"292","HMDB0000191","map00410"
"293","HMDB0000191","map00250"
"294","HMDB0000191","map00910"
"295","HMDB0000191","map00230"
"296","HMDB0000191","map00350"
"297","HMDB0000191","map00330"
"298","HMDB0000193","map00020"
"299","HMDB0000194","map00410"
"300","HMDB0000194","map00340"
"301","HMDB0000195","map00230"
"302","HMDB0000197","map00380"
"303","HMDB0000201","map01040"
"304","HMDB0000202","map00640"
"305","HMDB0000202","map00280"
"306","HMDB0000205","map00360"
"307","HMDB0000208","map00250"
"308","HMDB0000208","map00330"
"309","HMDB0000208","map00250"
"310","HMDB0000208","map00410"
"311","HMDB0000208","map00020"
"312","HMDB0000208","map00270"
"313","HMDB0000208","map00250"
"314","HMDB0000208","map00260"
"315","HMDB0000208","map00010"
"316","HMDB0000208","map00310"
"317","HMDB0000208","map00910"
"318","HMDB0000208","map00360"
"319","HMDB0000208","map00640"
"320","HMDB0000208","map00380"
"321","HMDB0000208","map00350"
"322","HMDB0000208","map00330"
"323","HMDB0000208","map00280"
"324","HMDB0000209","map00360"
"325","HMDB0000210","map00410"
"326","HMDB0000210","map00770"
"327","HMDB0000211","map00052"
"328","HMDB0000211","map00562"
"329","HMDB0000211","map00562"
"330","HMDB0000211","map00562"
"331","HMDB0000213","map00562"
"332","HMDB0000213","map00562"
"333","HMDB0000214","map00330"
"334","HMDB0000214","map00260"
"335","HMDB0000214","map00330"
"336","HMDB0000215","map00520"
"337","HMDB0000216","map00350"
"338","HMDB0000216","map00350"
"339","HMDB0000217","map00150"
"340","HMDB0000217","map00590"
"341","HMDB0000217","map00330"
"342","HMDB0000217","map00410"
"343","HMDB0000217","map00062"
"344","HMDB0000217","map00051"
"345","HMDB0000217","map00250"
"346","HMDB0000217","map00480"
"347","HMDB0000217","map00561"
"348","HMDB0000217","map00340"
"349","HMDB0000217","map00310"
"350","HMDB0000217","map00760"
"351","HMDB0000217","map00670"
"352","HMDB0000217","map00120"
"353","HMDB0000217","map00790"
"354","HMDB0000217","map00230"
"355","HMDB0000217","map00240"
"356","HMDB0000217","map00620"
"357","HMDB0000217","map00830"
"358","HMDB0000217","map00500"
"359","HMDB0000217","map00100"
"360","HMDB0000217","map00140"
"361","HMDB0000217","map00380"
"362","HMDB0000217","map00350"
"363","HMDB0000217","map00130"
"364","HMDB0000218","map00260"
"365","HMDB0000218","map00240"
"366","HMDB0000220","map00062"
"367","HMDB0000220","map00071"
"368","HMDB0000220","map00561"
"369","HMDB0000220","map00120"
"370","HMDB0000220","map00100"
"371","HMDB0000221","map00150"
"372","HMDB0000221","map00590"
"373","HMDB0000221","map00330"
"374","HMDB0000221","map00410"
"375","HMDB0000221","map00062"
"376","HMDB0000221","map00051"
"377","HMDB0000221","map00250"
"378","HMDB0000221","map00480"
"379","HMDB0000221","map00561"
"380","HMDB0000221","map00340"
"381","HMDB0000221","map00310"
"382","HMDB0000221","map00760"
"383","HMDB0000221","map00670"
"384","HMDB0000221","map00120"
"385","HMDB0000221","map00790"
"386","HMDB0000221","map00230"
"387","HMDB0000221","map00240"
"388","HMDB0000221","map00620"
"389","HMDB0000221","map00830"
"390","HMDB0000221","map00500"
"391","HMDB0000221","map00100"
"392","HMDB0000221","map00140"
"393","HMDB0000221","map00380"
"394","HMDB0000221","map00350"
"395","HMDB0000221","map00130"
"396","HMDB0000222","map00071"
"397","HMDB0000223","map00250"
"398","HMDB0000223","map00330"
"399","HMDB0000223","map00250"
"400","HMDB0000223","map00020"
"401","HMDB0000223","map00250"
"402","HMDB0000223","map00010"
"403","HMDB0000223","map00620"
"404","HMDB0000223","map00350"
"405","HMDB0000223","map00330"
"406","HMDB0000224","map00500"
"407","HMDB0000225","map00310"
"408","HMDB0000226","map00240"
"409","HMDB0000227","map00100"
"410","HMDB0000228","map00920"
"411","HMDB0000229","map00760"
"412","HMDB0000230","map00520"
"413","HMDB0000232","map00760"
"414","HMDB0000232","map00380"
"415","HMDB0000234","map00150"
"416","HMDB0000235","map00730"
"417","HMDB0000237","map00640"
"418","HMDB0000238","map00790"
"419","HMDB0000239","map00750"
"420","HMDB0000240","map00270"
"421","HMDB0000240","map00920"
"422","HMDB0000241","map00860"
"423","HMDB0000243","map00250"
"424","HMDB0000243","map00520"
"425","HMDB0000243","map00020"
"426","HMDB0000243","map00270"
"427","HMDB0000243","map00250"
"428","HMDB0000243","map00260"
"429","HMDB0000243","map00010"
"430","HMDB0000243","map00010"
"431","HMDB0000243","map00910"
"432","HMDB0000243","map00620"
"433","HMDB0000243","map00330"
"434","HMDB0000244","map00740"
"435","HMDB0000245","map00860"
"436","HMDB0000247","map00051"
"437","HMDB0000247","map00052"
"438","HMDB0000248","map00350"
"439","HMDB0000250","map00250"
"440","HMDB0000250","map00520"
"441","HMDB0000250","map00330"
"442","HMDB0000250","map00250"
"443","HMDB0000250","map00780"
"444","HMDB0000250","map00650"
"445","HMDB0000250","map00270"
"446","HMDB0000250","map00071"
"447","HMDB0000250","map00051"
"448","HMDB0000250","map00052"
"449","HMDB0000250","map00250"
"450","HMDB0000250","map00260"
"451","HMDB0000250","map00260"
"452","HMDB0000250","map00340"
"453","HMDB0000250","map00562"
"454","HMDB0000250","map00270"
"455","HMDB0000250","map00760"
"456","HMDB0000250","map00910"
"457","HMDB0000250","map00520"
"458","HMDB0000250","map00770"
"459","HMDB0000250","map00360"
"460","HMDB0000250","map00360"
"461","HMDB0000250","map00120"
"462","HMDB0000250","map00640"
"463","HMDB0000250","map00230"
"464","HMDB0000250","map00240"
"465","HMDB0000250","map00620"
"466","HMDB0000250","map00740"
"467","HMDB0000250","map00450"
"468","HMDB0000250","map00500"
"469","HMDB0000250","map00100"
"470","HMDB0000250","map00920"
"471","HMDB0000250","map00380"
"472","HMDB0000250","map00130"
"473","HMDB0000250","map00330"
"474","HMDB0000251","map00120"
"475","HMDB0000251","map00430"
"476","HMDB0000252","map00500"
"477","HMDB0000253","map00140"
"478","HMDB0000254","map00330"
"479","HMDB0000254","map00650"
"480","HMDB0000254","map00020"
"481","HMDB0000254","map00250"
"482","HMDB0000254","map00072"
"483","HMDB0000254","map00190"
"484","HMDB0000254","map00280"
"485","HMDB0000256","map00100"
"486","HMDB0000258","map00052"
"487","HMDB0000258","map00500"
"488","HMDB0000259","map00380"
"489","HMDB0000262","map00240"
"490","HMDB0000263","map00520"
"491","HMDB0000263","map00010"
"492","HMDB0000263","map00010"
"493","HMDB0000263","map00620"
"494","HMDB0000265","map00350"
"495","HMDB0000267","map00480"
"496","HMDB0000268","map00140"
"497","HMDB0000269","map00500"
"498","HMDB0000271","map00260"
"499","HMDB0000271","map00270"
"500","HMDB0000272","map00260"
"501","HMDB0000273","map00240"
"502","HMDB0000277","map00500"
"503","HMDB0000279","map00310"
"504","HMDB0000280","map00250"
"505","HMDB0000280","map00760"
"506","HMDB0000280","map00230"
"507","HMDB0000280","map00240"
"508","HMDB0000285","map00520"
"509","HMDB0000285","map00052"
"510","HMDB0000285","map00520"
"511","HMDB0000285","map00240"
"512","HMDB0000285","map00500"
"513","HMDB0000286","map00052"
"514","HMDB0000286","map00520"
"515","HMDB0000286","map00500"
"516","HMDB0000286","map00500"
"517","HMDB0000288","map00240"
"518","HMDB0000289","map00230"
"519","HMDB0000290","map00520"
"520","HMDB0000291","map00350"
"521","HMDB0000292","map00230"
"522","HMDB0000294","map00330"
"523","HMDB0000294","map00472"
"524","HMDB0000294","map00330"
"525","HMDB0000295","map00520"
"526","HMDB0000295","map00150"
"527","HMDB0000295","map00052"
"528","HMDB0000295","map00860"
"529","HMDB0000295","map00240"
"530","HMDB0000295","map00500"
"531","HMDB0000295","map00500"
"532","HMDB0000296","map00240"
"533","HMDB0000299","map00230"
"534","HMDB0000300","map00410"
"535","HMDB0000300","map00240"
"536","HMDB0000301","map00340"
"537","HMDB0000301","map00910"
"538","HMDB0000302","map00052"
"539","HMDB0000302","map00520"
"540","HMDB0000303","map00380"
"541","HMDB0000305","map00830"
"542","HMDB0000306","map00350"
"543","HMDB0000318","map00350"
"544","HMDB0000319","map00140"
"545","HMDB0000359","map00120"
"546","HMDB0000363","map00150"
"547","HMDB0000363","map00140"
"548","HMDB0000374","map00150"
"549","HMDB0000374","map00140"
"550","HMDB0000464","map00592"
"551","HMDB0000464","map00150"
"552","HMDB0000464","map00590"
"553","HMDB0000464","map00410"
"554","HMDB0000464","map00340"
"555","HMDB0000464","map00562"
"556","HMDB0000464","map00670"
"557","HMDB0000464","map00770"
"558","HMDB0000464","map00360"
"559","HMDB0000464","map00562"
"560","HMDB0000464","map00564"
"561","HMDB0000464","map00230"
"562","HMDB0000464","map00240"
"563","HMDB0000464","map00740"
"564","HMDB0000464","map00500"
"565","HMDB0000464","map00500"
"566","HMDB0000464","map00350"
"567","HMDB0000464","map00330"
"568","HMDB0000472","map00380"
"569","HMDB0000479","map00410"
"570","HMDB0000479","map00340"
"571","HMDB0000482","map01040"
"572","HMDB0000491","map00280"
"573","HMDB0000492","map00500"
"574","HMDB0000500","map00130"
"575","HMDB0000510","map00310"
"576","HMDB0000511","map01040"
"577","HMDB0000517","map00330"
"578","HMDB0000517","map00250"
"579","HMDB0000517","map00260"
"580","HMDB0000517","map00330"
"581","HMDB0000518","map00120"
"582","HMDB0000535","map01040"
"583","HMDB0000536","map00250"
"584","HMDB0000536","map00230"
"585","HMDB0000538","map00250"
"586","HMDB0000538","map00520"
"587","HMDB0000538","map00330"
"588","HMDB0000538","map00250"
"589","HMDB0000538","map01040"
"590","HMDB0000538","map00780"
"591","HMDB0000538","map00650"
"592","HMDB0000538","map00020"
"593","HMDB0000538","map00270"
"594","HMDB0000538","map00071"
"595","HMDB0000538","map00051"
"596","HMDB0000538","map00052"
"597","HMDB0000538","map00250"
"598","HMDB0000538","map00480"
"599","HMDB0000538","map00561"
"600","HMDB0000538","map00260"
"601","HMDB0000538","map00260"
"602","HMDB0000538","map00010"
"603","HMDB0000538","map00010"
"604","HMDB0000538","map00340"
"605","HMDB0000538","map00562"
"606","HMDB0000538","map00562"
"607","HMDB0000538","map00270"
"608","HMDB0000538","map00760"
"609","HMDB0000538","map00910"
"610","HMDB0000538","map00520"
"611","HMDB0000538","map00670"
"612","HMDB0000538","map00190"
"613","HMDB0000538","map00770"
"614","HMDB0000538","map00360"
"615","HMDB0000538","map00360"
"616","HMDB0000538","map00562"
"617","HMDB0000538","map00120"
"618","HMDB0000538","map00640"
"619","HMDB0000538","map00230"
"620","HMDB0000538","map00240"
"621","HMDB0000538","map00620"
"622","HMDB0000538","map00740"
"623","HMDB0000538","map00450"
"624","HMDB0000538","map00500"
"625","HMDB0000538","map00500"
"626","HMDB0000538","map00100"
"627","HMDB0000538","map00920"
"628","HMDB0000538","map00730"
"629","HMDB0000538","map00380"
"630","HMDB0000538","map00330"
"631","HMDB0000538","map00280"
"632","HMDB0000547","map00520"
"633","HMDB0000547","map00590"
"634","HMDB0000547","map00250"
"635","HMDB0000547","map01040"
"636","HMDB0000547","map00650"
"637","HMDB0000547","map00020"
"638","HMDB0000547","map00071"
"639","HMDB0000547","map00051"
"640","HMDB0000547","map00052"
"641","HMDB0000547","map00250"
"642","HMDB0000547","map00260"
"643","HMDB0000547","map00260"
"644","HMDB0000547","map00010"
"645","HMDB0000547","map00010"
"646","HMDB0000547","map00562"
"647","HMDB0000547","map00562"
"648","HMDB0000547","map00270"
"649","HMDB0000547","map00760"
"650","HMDB0000547","map00910"
"651","HMDB0000547","map00520"
"652","HMDB0000547","map00670"
"653","HMDB0000547","map00360"
"654","HMDB0000547","map00360"
"655","HMDB0000547","map00562"
"656","HMDB0000547","map00564"
"657","HMDB0000547","map00230"
"658","HMDB0000547","map00240"
"659","HMDB0000547","map00620"
"660","HMDB0000547","map00740"
"661","HMDB0000547","map00500"
"662","HMDB0000547","map00500"
"663","HMDB0000547","map00100"
"664","HMDB0000547","map00920"
"665","HMDB0000547","map00350"
"666","HMDB0000547","map00750"
"667","HMDB0000561","map00830"
"668","HMDB0000564","map00564"
"669","HMDB0000570","map00860"
"670","HMDB0000574","map00270"
"671","HMDB0000574","map00250"
"672","HMDB0000574","map00480"
"673","HMDB0000574","map00260"
"674","HMDB0000574","map00270"
"675","HMDB0000574","map00770"
"676","HMDB0000574","map00430"
"677","HMDB0000586","map00260"
"678","HMDB0000586","map00010"
"679","HMDB0000586","map00270"
"680","HMDB0000586","map00230"
"681","HMDB0000586","map00620"
"682","HMDB0000595","map00250"
"683","HMDB0000595","map00020"
"684","HMDB0000595","map00250"
"685","HMDB0000595","map00010"
"686","HMDB0000595","map00640"
"687","HMDB0000595","map00240"
"688","HMDB0000595","map00620"
"689","HMDB0000595","map00330"
"690","HMDB0000595","map00280"
"691","HMDB0000601","map00120"
"692","HMDB0000614","map00564"
"693","HMDB0000619","map00120"
"694","HMDB0000626","map00120"
"695","HMDB0000629","map00920"
"696","HMDB0000631","map00120"
"697","HMDB0000637","map00120"
"698","HMDB0000638","map01040"
"699","HMDB0000641","map00520"
"700","HMDB0000641","map00250"
"701","HMDB0000641","map00250"
"702","HMDB0000641","map00760"
"703","HMDB0000641","map00910"
"704","HMDB0000641","map00360"
"705","HMDB0000641","map00230"
"706","HMDB0000641","map00240"
"707","HMDB0000641","map00330"
"708","HMDB0000643","map00860"
"709","HMDB0000645","map00052"
"710","HMDB0000645","map00520"
"711","HMDB0000652","map00920"
"712","HMDB0000657","map00410"
"713","HMDB0000657","map00340"
"714","HMDB0000657","map00740"
"715","HMDB0000657","map00350"
"716","HMDB0000657","map00350"
"717","HMDB0000660","map00520"
"718","HMDB0000660","map00051"
"719","HMDB0000660","map00052"
"720","HMDB0000660","map00500"
"721","HMDB0000673","map00592"
"722","HMDB0000674","map00561"
"723","HMDB0000674","map00564"
"724","HMDB0000684","map00380"
